"","FY","State","StateName","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"155","2009","WY","Wyoming",56078.5989643626,244959.242923163,92453.945058462,0,8153.80194870481,0,2955.97115,3437.35509763973,137958.169668356,17501.5633155726
"156","2009","PR","Puerto Rico",116029.497912918,1087720.71623368,539522.83096178,39394.29936,27360.1942137231,0,24159.42574,2879.7391392308,454404.226818945,59217.5887709385
"157","2009","GU","Guam",8226.61918839283,32597.4227591855,25307.7649579417,0,2336.59378563782,0,0,162.05101560598,4791.013,932.402938728347
"158","2010","AL","Alabama",405624.276454142,2171214.84247342,1181450.1949657,15926.64056,130270.746825734,0,36118.72946,27449.9185251401,779998.612136844,101842
"159","2010","AK","Alaska",77025.432141055,359342.307088974,167393.743411336,13677.80377,35065.1727969169,0,6550.27424,3183.00866997,133472.304200752,15324
"160","2010","AZ","Arizona",556728.974755339,2397241.42831844,1054437.48683122,7956.67366,229540.075290629,0,98141.89184,36992.1062083252,970173.194488269,125972
"161","2010","AR","Arkansas",254663.694033135,1616787.38376072,761122.989559193,30269.44014,60853.7088827245,0,44347.43556,14031.3198523374,706162.489766466,85624
"162","2010","CA","California",1971958.80171897,9124851.60760075,3804601.14940504,136604.17882,991204.737621091,0,190349.87154,170694.004010153,3831397.66620447,405918
"163","2010","CO","Colorado",421342.206606741,1828588.56447454,904508.547655184,23453.73009,219202.408211786,0,69750.91474,30331.1375234417,581341.826254132,78515
"164","2010","CT","Connecticut",229734.407711349,829125.026361349,278862.650554415,2191.14732,85896.956907503,0,14254.20771,24711.5430364475,423208.520832983,50193
"165","2010","DE","Delaware",78246.8040622371,280266.49652661,128983.536945044,5650.00801,22850.0068501072,0,4609.45931,4749.14567637875,113424.33973508,13896
"166","2010","DC","District of Columbia",37267.9813198629,1940240.88636227,64135.2392457317,133978.34537,17652.8998273511,0,1538075.85719,3200.15228138825,183198.3924478,9413
